ID,Lab,Hand,Sex,CDA2,CDA4,CDA6,K,D_prime
sub-Vog170,Ohio,n/a,n/a,NaN,NaN,NaN,1.93041636601412,1.92145032053235
sub-Vog171,Ohio,n/a,n/a,NaN,NaN,NaN,2.07034771939129,2.04612398756852
sub-Vog172,Ohio,n/a,n/a,NaN,NaN,NaN,1.86384063805694,1.63959012075589
sub-Vog173,Ohio,n/a,n/a,NaN,NaN,NaN,2.68522242473617,2.75152574343865
sub-Vog174,Ohio,n/a,n/a,NaN,NaN,NaN,2.90188923025442,2.66021247852846
sub-Vog175,Ohio,n/a,n/a,NaN,NaN,NaN,1.72127944898576,1.83841213554469
sub-Vog176,Ohio,n/a,n/a,NaN,NaN,NaN,2.1665884450776,1.9696118125358
sub-Vog177,Ohio,n/a,n/a,NaN,NaN,NaN,1.97287586380145,1.79550065708038
sub-Vog178,Ohio,n/a,n/a,NaN,NaN,NaN,3.34941727794396,3.39194095938259
sub-Vog179,Ohio,n/a,n/a,NaN,NaN,NaN,1.93541620507023,1.98416775141506
sub-Vog180,Ohio,n/a,n/a,NaN,NaN,NaN,2.32840058688298,2.05271195971917
sub-Vog181,Ohio,n/a,n/a,NaN,NaN,NaN,3.1591655643739,3.38413283773808
sub-Vog182,Ohio,n/a,n/a,NaN,NaN,NaN,1.75304008448795,1.9365893036832
sub-Vog183,Ohio,n/a,n/a,NaN,NaN,NaN,2.38511925803279,2.56645935025183
sub-Vog184,Ohio,n/a,n/a,NaN,NaN,NaN,2.34938056808442,2.24206386504711
sub-Vog185,Ohio,n/a,n/a,NaN,NaN,NaN,2.73704093567251,3.28284494469348
sub-Vog186,Reykjavik,n/a,n/a,NaN,NaN,NaN,-0.899506688056586,-0.7951578440673
sub-Vog187,Reykjavik,n/a,n/a,NaN,NaN,NaN,1.93861956295031,2.55832060841112
sub-Vog188,Reykjavik,n/a,n/a,NaN,NaN,NaN,1.81942982699627,2.00465510480338
sub-Vog189,Reykjavik,n/a,n/a,NaN,NaN,NaN,3.04648813954077,3.53202488384741
sub-Vog190,Reykjavik,n/a,n/a,NaN,NaN,NaN,1.30165506138305,1.35776977051843
sub-Vog191,Reykjavik,n/a,n/a,NaN,NaN,NaN,1.66706607321939,1.75782345170958
sub-Vog192,Reykjavik,n/a,n/a,NaN,NaN,NaN,2.11182343637739,2.08794066283377
sub-Vog193,Reykjavik,n/a,n/a,NaN,NaN,NaN,2.10169611233188,2.20786306755121
sub-Vog194,Reykjavik,n/a,n/a,NaN,NaN,NaN,1.65339884897432,1.73097819413535
sub-Vog195,Reykjavik,n/a,n/a,NaN,NaN,NaN,0.407327936731923,0.34184258910782
sub-Vog196,Reykjavik,n/a,n/a,NaN,NaN,NaN,1.50030057493868,1.23487753790606
sub-Vog197,Reykjavik,n/a,n/a,NaN,NaN,NaN,1.95405068178734,1.6848641863159
sub-Vog198,Reykjavik,n/a,n/a,NaN,NaN,NaN,1.7789031523324,1.95874573839605
sub-Vog199,Reykjavik,n/a,n/a,NaN,NaN,NaN,2.04187886221501,1.86592854367738
sub-Vog200,Reykjavik,n/a,n/a,NaN,NaN,NaN,1.6794983189172,2.06873953421041
sub-Vog201,Reykjavik,n/a,n/a,NaN,NaN,NaN,2.43514510674384,2.64055625298821
sub-Vog202,Reykjavik,n/a,n/a,NaN,NaN,NaN,2.0074706717038,2.302808088385
sub-Vog203,Reykjavik,n/a,n/a,NaN,NaN,NaN,2.06540664292097,2.18337557925126
sub-Vog204,Reykjavik,n/a,n/a,NaN,NaN,NaN,1.71505167552049,1.72830151022938
sub-Vog205,Reykjavik,n/a,n/a,NaN,NaN,NaN,1.53244740731245,1.61049124874235
sub-Vog206,Reykjavik,n/a,n/a,NaN,NaN,NaN,1.39657488402762,1.33442302473665
sub-Vog207,Reykjavik,n/a,n/a,NaN,NaN,NaN,1.53913570103791,1.53101405146307
sub-Vog208,Reykjavik,n/a,n/a,NaN,NaN,NaN,1.48694452006269,1.42678118134258
sub-Vog209,Reykjavik,n/a,n/a,NaN,NaN,NaN,1.86246768112845,1.90446004051292
sub-Vog210,Reykjavik,n/a,n/a,NaN,NaN,NaN,1.67340913438917,1.94864842330099
sub-Vog211,Reykjavik,n/a,n/a,NaN,NaN,NaN,1.3058312194294,1.08469362651817
sub-Vog212,Reykjavik,n/a,n/a,NaN,NaN,NaN,0.0344660429950849,-0.00293813990088674
sub-Vog213,Reykjavik,n/a,n/a,NaN,NaN,NaN,1.96896362938841,1.92996085065005
sub-Vog214,Reykjavik,n/a,n/a,NaN,NaN,NaN,1.88154077890552,1.82558721695754
sub-Vog215,Reykjavik,n/a,n/a,NaN,NaN,NaN,1.24019832026692,1.07677988993003
sub-Vog216,Sheffield,r,f,NaN,NaN,NaN,1.00137964036448,1.14358332987941
sub-Vog217,Sheffield,r,f,NaN,NaN,NaN,1.03984197368919,0.986537340664237
sub-Vog218,Sheffield,r,f,NaN,NaN,NaN,2.69475844621916,2.75548037917313
